Fecha,TCR 1/
28/06/16,7.63805
29/06/16,7.63668
30/06/16,7.63735
1/07/16,7.63735
2/07/16,7.63735
3/07/16,7.63735
4/07/16,7.63735
5/07/16,7.63601
6/07/16,7.63134
7/07/16,7.63009
8/07/16,7.62374
9/07/16,7.62374
10/07/16,7.62374
11/07/16,7.62053
12/07/16,7.61382
13/07/16,7.61372
14/07/16,7.61316
15/07/16,7.60867
16/07/16,7.60867
17/07/16,7.60867
18/07/16,7.59999
19/07/16,7.58633
20/07/16,7.58385
21/07/16,7.58402
22/07/16,7.59282
23/07/16,7.59282
24/07/16,7.59282
25/07/16,7.59058
26/07/16,7.57682
27/07/16,7.57537
28/07/16,7.56564
29/07/16,7.561
30/07/16,7.561
31/07/16,7.561
1/08/16,7.56021
2/08/16,7.55883
3/08/16,7.54981
4/08/16,7.54081
5/08/16,7.53887
6/08/16,7.53887
7/08/16,7.53887
8/08/16,7.53896
9/08/16,7.53719
10/08/16,7.53723
11/08/16,7.52367
12/08/16,7.50582
13/08/16,7.50582
14/08/16,7.50582
15/08/16,7.50582
16/08/16,7.50272
17/08/16,7.50094
18/08/16,7.51102
19/08/16,7.52229
20/08/16,7.52229
21/08/16,7.52229
22/08/16,7.52979
23/08/16,7.54246
24/08/16,7.55377
25/08/16,7.55431
26/08/16,7.55369
27/08/16,7.55369
28/08/16,7.55369
29/08/16,7.55444
30/08/16,7.55334
31/08/16,7.55319
1/09/16,7.54861
2/09/16,7.5435
3/09/16,7.5435
4/09/16,7.5435
5/09/16,7.54023
6/09/16,7.54224
7/09/16,7.53764
8/09/16,7.5361
9/09/16,7.53224
10/09/16,7.53224
11/09/16,7.53224
12/09/16,7.52631
13/09/16,7.52096
14/09/16,7.51893
15/09/16,7.51893
16/09/16,7.5178
17/09/16,7.5178
18/09/16,7.5178
19/09/16,7.51102
20/09/16,7.51232
21/09/16,7.51485
22/09/16,7.51666
23/09/16,7.51792
24/09/16,7.51792
25/09/16,7.51792
26/09/16,7.51718
27/09/16,7.51758
28/09/16,7.52305
29/09/16,7.52081
30/09/16,7.52067
1/10/16,7.52067
2/10/16,7.52067
3/10/16,7.51952
4/10/16,7.51245
5/10/16,7.51114
6/10/16,7.50508
7/10/16,7.4952
8/10/16,7.4952
9/10/16,7.4952
10/10/16,7.48385
11/10/16,7.47492
12/10/16,7.47492
13/10/16,7.46923
14/10/16,7.47152
15/10/16,7.47152
16/10/16,7.47152
17/10/16,7.47912
18/10/16,7.47579
19/10/16,7.48938
20/10/16,7.48938
21/10/16,7.49132
22/10/16,7.49132
23/10/16,7.49132
24/10/16,7.4996
25/10/16,7.50335
26/10/16,7.52313
27/10/16,7.5309
28/10/16,7.52554
29/10/16,7.52554
30/10/16,7.52554
31/10/16,7.5156
1/11/16,7.5156
2/11/16,7.50669
3/11/16,7.49747
4/11/16,7.5054
5/11/16,7.5054
6/11/16,7.5054
7/11/16,7.51299
8/11/16,7.51097
9/11/16,7.50379
10/11/16,7.50211
11/11/16,7.49656
12/11/16,7.49656
13/11/16,7.49656
14/11/16,7.49578
15/11/16,7.48971
16/11/16,7.49026
17/11/16,7.49217
18/11/16,7.49776
19/11/16,7.49776
20/11/16,7.49776
21/11/16,7.50531
22/11/16,7.50789
23/11/16,7.50703
24/11/16,7.50589
25/11/16,7.51556
26/11/16,7.51556
27/11/16,7.51556
28/11/16,7.51539
29/11/16,7.51297
30/11/16,7.51202
1/12/16,7.51636
2/12/16,7.52882
3/12/16,7.52882
4/12/16,7.52882
5/12/16,7.53688
6/12/16,7.53397
7/12/16,7.52755
8/12/16,7.51599
9/12/16,7.50953
10/12/16,7.50953
11/12/16,7.50953
12/12/16,7.50242
13/12/16,7.50252
14/12/16,7.5011
15/12/16,7.49512
16/12/16,7.49194
17/12/16,7.49194
18/12/16,7.49194
19/12/16,7.48553
20/12/16,7.47034
21/12/16,7.47063
22/12/16,7.47909
23/12/16,7.48714
24/12/16,7.48714
25/12/16,7.48714
26/12/16,7.48714
27/12/16,7.49119
28/12/16,7.49998
29/12/16,7.52213
30/12/16,7.52213
31/12/16,7.52213
1/01/17,7.52213
2/01/17,7.52213
3/01/17,7.54656
4/01/17,7.56079
5/01/17,7.55235
6/01/17,7.54267
7/01/17,7.54267
8/01/17,7.54267
9/01/17,7.53382
10/01/17,7.52624
11/01/17,7.53272
12/01/17,7.53074
13/01/17,7.53428
14/01/17,7.53428
15/01/17,7.53428
16/01/17,7.54601
17/01/17,7.54821
18/01/17,7.54003
19/01/17,7.5333
20/01/17,7.52503
21/01/17,7.52503
22/01/17,7.52503
23/01/17,7.51842
24/01/17,7.50753
25/01/17,7.49756
26/01/17,7.48319
27/01/17,7.4765
28/01/17,7.4765
29/01/17,7.4765
30/01/17,7.47461
31/01/17,7.47444
1/02/17,7.4717
2/02/17,7.46089
3/02/17,7.46017
4/02/17,7.46017
5/02/17,7.46017
6/02/17,7.44707
7/02/17,7.43918
8/02/17,7.43764
9/02/17,7.43727
10/02/17,7.43595
11/02/17,7.43595
12/02/17,7.43595
13/02/17,7.42943
14/02/17,7.42132
15/02/17,7.41644
16/02/17,7.4084
17/02/17,7.39213
18/02/17,7.39213
19/02/17,7.39213
20/02/17,7.38112
21/02/17,7.37878
22/02/17,7.37149
23/02/17,7.3653
24/02/17,7.35214
25/02/17,7.35214
26/02/17,7.35214
27/02/17,7.35441
28/02/17,7.36852
1/03/17,7.37503
2/03/17,7.37878
3/03/17,7.37393
4/03/17,7.37393
5/03/17,7.37393
6/03/17,7.3739
7/03/17,7.37579
8/03/17,7.37684
9/03/17,7.37335
10/03/17,7.37636
11/03/17,7.37636
12/03/17,7.37636
13/03/17,7.36932
14/03/17,7.37057
15/03/17,7.37397
16/03/17,7.37024
17/03/17,7.36039
18/03/17,7.36039
19/03/17,7.36039
20/03/17,7.34393
21/03/17,7.33606
22/03/17,7.33535
23/03/17,7.34
24/03/17,7.34394
25/03/17,7.34394
26/03/17,7.34394
27/03/17,7.34091
28/03/17,7.33534
29/03/17,7.3348
30/03/17,7.33666
31/03/17,7.33976
1/04/17,7.33976
2/04/17,7.33976
3/04/17,7.33747
4/04/17,7.33918
5/04/17,7.33871
6/04/17,7.33955
7/04/17,7.33803
8/04/17,7.33803
9/04/17,7.33803
10/04/17,7.33827
11/04/17,7.33618
12/04/17,7.33862
13/04/17,7.33862
14/04/17,7.33862
15/04/17,7.33862
16/04/17,7.33862
17/04/17,7.33426
18/04/17,7.33466
19/04/17,7.33283
20/04/17,7.33033
21/04/17,7.33366
22/04/17,7.33366
23/04/17,7.33366
24/04/17,7.33548
25/04/17,7.3394
26/04/17,7.34179
27/04/17,7.34177
